ad_typology_Value,ad_price,ad_area,ad_builttype_Value,ad_roomnumber,ad_bathnumber,ad_haslift,ad_hasswimmingpool,ad_hasheating,ad_hasterrace,ad_hasparkingspace,ad_hasairconditioning,ad_hasgarden,ad_district_Eixample,ad_district_Gràcia,ad_district_Horta Guinardó,ad_district_Les Corts,ad_district_Nou Barris,ad_district_Sant Andreu,ad_district_Sant Martí,ad_district_Sants-Montjuïc,ad_district_Sarrià-Sant Gervasi
0,315000,61,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0,450000,166,2,7,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,179000,58,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,150000,30,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,120000,62,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,123000,53,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,161000,62,1,2,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
0,299000,79,1,4,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
0,215000,70,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,298000,75,1,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,250000,93,1,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,149000,56,1,3,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,146000,74,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,195000,75,1,3,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,248000,87,1,3,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,185000,65,1,3,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,219000,86,1,3,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
0,215000,63,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,275000,88,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,119000,35,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,289000,70,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,159000,35,2,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,338000,73,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,189000,97,1,3,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
0,285000,85,1,4,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
0,230000,46,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,260000,77,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,299000,106,1,4,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,114000,54,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0,175000,39,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,179000,65,1,3,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
0,390000,76,1,3,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,170000,55,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,350000,83,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,159100,80,2,4,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,295000,101,2,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
0,420000,70,1,2,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
0,138000,50,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,200000,77,1,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,255000,72,1,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,242000,65,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,265000,50,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
0,469000,102,1,4,2,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0
0,284000,70,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,169000,60,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,99000,52,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,469000,102,1,4,2,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
0,414000,123,2,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,320000,61,1,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0,218000,62,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,309000,80,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0,359000,91,1,3,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,369000,74,1,3,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
0,269000,109,1,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,241000,92,1,3,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
0,298000,75,1,3,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,230000,74,1,3,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,159900,74,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,127000,60,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,99000,52,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,107000,65,1,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,189000,52,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,118000,57,2,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,185000,62,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,126000,40,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,330000,106,1,4,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0,169000,56,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,180000,35,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,132000,65,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,99000,52,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,370000,94,1,3,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,298000,75,1,3,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,99000,50,1,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,149000,53,1,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,209000,60,1,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,319000,93,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,155000,74,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,420000,101,1,4,2,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0
0,335000,98,1,3,2,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
0,250000,59,1,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,169000,59,1,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,308000,101,1,4,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,258000,78,1,3,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
0,310000,45,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
0,115000,49,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,110000,48,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,115000,54,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,97000,60,1,2,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
0,255000,62,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0,250000,53,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,360000,85,1,4,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
0,260000,80,1,3,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
0,158000,70,1,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,285000,85,1,4,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
0,490000,91,1,3,2,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
0,220000,91,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,99000,52,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,465000,104,1,4,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,310000,74,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,290000,75,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,120000,62,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,285000,76,1,3,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
0,339000,89,1,3,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
0,315000,104,1,4,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
0,285000,89,1,3,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
0,125000,65,2,3,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
0,285000,85,1,4,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
0,129500,52,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,185000,64,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,228000,58,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,320000,88,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,310000,91,1,2,2,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
0,275000,121,1,3,2,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
0,177000,51,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,325000,80,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,310000,64,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,154000,44,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,117000,41,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,375000,83,1,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
0,55000,65,1,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,108500,63,1,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,298000,125,1,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,255000,55,1,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
0,380000,115,1,2,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
0,95000,61,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,86000,110,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,325000,91,2,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,250000,50,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,112000,36,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,420000,100,1,4,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,240000,60,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,330000,76,1,3,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
0,465000,129,1,4,2,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
0,233000,85,1,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,125000,56,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,195000,80,1,4,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
0,320000,67,1,2,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
0,350000,58,1,2,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
0,320000,65,2,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,260000,76,2,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,370000,95,2,3,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0,229000,72,2,3,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,298000,75,1,3,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,99000,46,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,310000,95,1,4,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
0,172000,76,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,220000,89,1,4,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
0,209000,45,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,395000,88,1,2,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
0,199000,61,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,370000,65,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,383000,105,1,5,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
0,310000,64,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0,110000,62,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,375000,102,1,3,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,360000,89,1,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
0,218000,57,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
